epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,590.621,0.29334,0.94575,1,0.14075,0.000554555,0.000554555,0.000554555
2,966.3,0.17417,0.9465,1,0.15922,0.00105527,0.00105527,0.00105527
3,1285.19,0.18201,0.95675,1,0.10878,0.00150097,0.00150097,0.00150097
4,1551.15,0.14258,0.96075,1,0.10174,0.00141945,0.00141945,0.00141945
5,1838.87,0.12921,0.97525,1,0.06493,0.00133693,0.00133693,0.00133693
6,2130.64,0.10601,0.9615,1,0.11098,0.00125442,0.00125442,0.00125442
7,2410.83,0.10147,0.98025,1,0.0535,0.0011719,0.0011719,0.0011719
8,2682.78,0.08524,0.97275,1,0.07632,0.00108938,0.00108938,0.00108938
9,2955.03,0.07198,0.98425,1,0.05011,0.00100687,0.00100687,0.00100687
10,3235.61,0.07739,0.98275,1,0.04309,0.000924352,0.000924352,0.000924352
11,3515.28,0.06418,0.9885,1,0.03575,0.000841835,0.000841835,0.000841835
12,3817.84,0.06113,0.9885,1,0.03416,0.000759318,0.000759318,0.000759318
13,4092.15,0.04506,0.9895,1,0.03096,0.000676802,0.000676802,0.000676802
14,4380.37,0.0476,0.99175,1,0.02568,0.000594286,0.000594286,0.000594286
15,4653.15,0.04234,0.99225,1,0.02356,0.000511769,0.000511769,0.000511769
16,4922.84,0.03676,0.99125,1,0.02413,0.000429253,0.000429253,0.000429253
17,5195.5,0.03061,0.99225,1,0.02232,0.000346736,0.000346736,0.000346736
18,5465.78,0.02874,0.9945,1,0.01882,0.00026422,0.00026422,0.00026422
19,5736.88,0.02501,0.9955,1,0.01705,0.000181703,0.000181703,0.000181703
20,6004.05,0.01952,0.99375,1,0.01812,9.91865e-05,9.91865e-05,9.91865e-05
