epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,541.639,0.20574,0.88879,0.93329,0.76956,0.83153,0.92583,0.79929,0.43262,0.91921,0.5482,0.000555111,0.000555111,0.000555111
2,1069.65,0.16815,0.5566,0.90435,0.89028,0.90983,0.9657,0.91649,0.27867,0.54059,0.41075,0.00105579,0.00105579,0.00105579
3,1373.16,0.1504,0.50286,0.8983,0.89189,0.8531,0.9658,0.9228,0.31928,0.57985,0.44755,0.00150147,0.00150147,0.00150147
4,1667.39,0.1344,0.45099,0.89193,0.83686,0.8878,0.94878,0.8984,0.29962,0.57163,0.423,0.00141945,0.00141945,0.00141945
5,2045.42,0.1172,0.41488,0.88794,0.90515,0.91625,0.96709,0.94428,0.27789,0.46028,0.40713,0.00133693,0.00133693,0.00133693
6,2869.44,0.10328,0.3789,0.88573,0.92785,0.94439,0.98043,0.94524,0.24385,0.43242,0.38188,0.00125442,0.00125442,0.00125442
7,3576.88,0.09552,0.36147,0.88259,0.94982,0.93652,0.98499,0.97631,0.24187,0.40497,0.35145,0.0011719,0.0011719,0.0011719
8,3887.29,0.08971,0.34142,0.88294,0.94517,0.95075,0.98743,0.97321,0.25091,0.38353,0.37555,0.00108938,0.00108938,0.00108938
9,4438.38,0.08368,0.3202,0.88088,0.96772,0.96498,0.98963,0.97962,0.24963,0.35635,0.36746,0.00100687,0.00100687,0.00100687
10,5369.14,0.07898,0.30619,0.88146,0.9477,0.93787,0.98202,0.97298,0.2146,0.40661,0.33837,0.000924352,0.000924352,0.000924352
11,6071.59,0.06518,0.2248,0.87621,0.95404,0.97214,0.98937,0.9877,0.20348,0.3823,0.32502,0.000841835,0.000841835,0.000841835
12,6574.45,0.0528,0.19231,0.86987,0.97831,0.97139,0.99216,0.99098,0.21624,0.32732,0.34348,0.000759318,0.000759318,0.000759318
13,6848.07,0.04568,0.16503,0.86818,0.98291,0.9706,0.99303,0.98942,0.20396,0.3251,0.32817,0.000676802,0.000676802,0.000676802
14,7152.22,0.04324,0.15195,0.86882,0.97798,0.9806,0.99296,0.99229,0.21392,0.42274,0.32847,0.000594286,0.000594286,0.000594286
15,7609.74,0.03963,0.12691,0.86909,0.98514,0.98151,0.9938,0.98633,0.20382,0.3087,0.32885,0.000511769,0.000511769,0.000511769
16,8033.5,0.03549,0.11788,0.86972,0.98458,0.98802,0.99391,0.99162,0.17804,0.3029,0.30726,0.000429253,0.000429253,0.000429253
17,8285.1,0.03169,0.09849,0.86768,0.98603,0.98262,0.99393,0.99341,0.17463,0.31786,0.30717,0.000346736,0.000346736,0.000346736
18,8596.65,0.0295,0.0948,0.86878,0.98834,0.98621,0.99426,0.99372,0.17431,0.3304,0.3041,0.00026422,0.00026422,0.00026422
19,9032.72,0.02708,0.07971,0.86674,0.98703,0.98951,0.9944,0.99437,0.16868,0.32606,0.30013,0.000181703,0.000181703,0.000181703
20,9803.94,0.02323,0.06659,0.86715,0.99073,0.98668,0.9945,0.99446,0.15025,0.29775,0.2845,9.91865e-05,9.91865e-05,9.91865e-05
